moscow saint_petersburg 635
moscow novosibirsk 3300
moscow ekaterinburg 1663
moscow nizhny_novgorod 411
moscow kazan 715
saint_petersburg moscow 635
saint_petersburg kazan 1115
novosibirsk moscow 3300
novosibirsk ekaterinburg 1428
novosibirsk omsk 644
ekaterinburg moscow 1663
ekaterinburg novosibirsk 1428
ekaterinburg kazan 797
ekaterinburg chelyabinsk 195
nizhny_novgorod moscow 411
nizhny_novgorod kazan 321
kazan moscow 715
kazan saint_petersburg 1115
kazan ekaterinburg 797
kazan nizhny_novgorod 321
chelyabinsk ekaterinburg 195
chelyabinsk omsk 1231
omsk novosibirsk 644
omsk chelyabinsk 1231
samara moscow 856
samara kazan 353
rostov_on_don moscow 1094
rostov_on_don volgograd 470
ufa kazan 525
ufa ekaterinburg 447
krasnoyarsk novosibirsk 790
perm ekaterinburg 291
volgograd rostov_on_don 470
voronezh moscow 520
